seq_ID,index,MACS_ct,FACS1_ct,FACS2_ct,MACS_hasread,FACS1_hasread,FACS2_hasread,MACS_normct,MACS_logct,FACS1_normct,FACS1_logct,FACS2_normct,FACS2_logct,FACS1_MACS_logratio,FACS2_MACS_logratio,FACS2_FACS1_logratio,FACS1_MACS_enriched,FACS1_MACS_split,FACS2_MACS_enriched,FACS2_MACS_split,FACS2_FACS1_enriched,FACS2_FACS1_split
V2/fil5_filabund1_22,22,586,222,32,True,True,True,635.4776547187469,2.803100284074982,400.29932291713624,2.602384855522042,74.35946293877892,1.8713362444192927,-0.20071542855294,-0.9317640396556892,-0.7310486111027492,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_23,23,586,107,82,True,True,True,635.4776547187469,2.803100284074982,192.93706104564674,2.285415658756613,190.546123780621,2.2800001184831036,-0.5176846253183691,-0.5231001655918783,-0.005415540273509212,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_24,24,579,98,61,True,True,True,627.8866247135742,2.7978812317843276,176.70871011657366,2.247257956763898,141.74772622704734,2.151516101110154,-0.5506232750204294,-0.6463651306741736,-0.09574185565374416,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_25,25,563,120,68,True,True,True,610.535698987465,2.7857110629082373,216.3780123876412,2.335213127119028,158.0138587449052,2.198695178805623,-0.45049793578920916,-0.5870158841026143,-0.13651794831340514,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_26,26,560,147,49,True,True,True,607.2824004138196,2.783390695063092,265.06306517486047,2.4233492158195795,113.86292762500523,2.0563823461279003,-0.36004147924351226,-0.7270083489351915,-0.36696686969167924,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_27,27,556,722,280,True,True,True,602.9446689822923,2.780277459638949,1301.874374532308,3.1145690786410425,650.6453007143156,2.813344297441606,0.3342916190020935,0.033066837802656845,-0.30122478119943663,1.0,test,1.0,train,0.0,train
V2/fil5_filabund1_28,28,548,102,56,True,True,True,594.2692061192378,2.7739832265412603,183.92131052949503,2.2646320528333206,130.12906014286312,2.114374293105587,-0.5093511737079397,-0.6596089334356732,-0.15025775972773348,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_29,29,543,181,69,True,True,True,588.8470418298286,2.7700024976457382,326.37016868469215,2.5137104559405876,160.33759196174205,2.205035356836642,-0.25629204170515063,-0.5649671408090962,-0.3086750991039455,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_30,30,535,47,47,True,True,True,580.1715789667741,2.7635564500781196,84.74805485182614,1.9281297390071208,109.21546119133154,2.0382841240351044,-0.8354267110709988,-0.7252723260430152,0.11015438502798358,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_31,31,533,153,58,True,True,True,578.0027132510104,2.7619298770834635,275.88196579424255,2.440723311889002,134.7765265765368,2.129614259662324,-0.32120656519446156,-0.6323156174211393,-0.31110905222667773,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_32,32,532,66,66,True,True,True,576.9182803931286,2.7611143003519394,119.00790681320267,2.075575816613272,153.36639231123152,2.185730201641255,-0.6855384837386675,-0.5753840987106842,0.11015438502798336,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_33,33,530,31,66,True,True,True,574.7494146773649,2.7594785376576803,55.897653200140645,1.747393574905676,153.36639231123152,2.185730201641255,-1.0120849627520043,-0.573748336016425,0.43833662673557927,0.0,train,0.0,test,1.0,test
V2/fil5_filabund1_34,34,523,158,61,True,True,True,567.1583846721923,2.7537043569241657,284.8977163103943,2.454688968025826,141.74772622704734,2.151516101110154,-0.29901538889833956,-0.6021882558140117,-0.30317286691567213,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_35,35,520,76,71,True,True,True,563.9050860985468,2.7512060116916905,137.0394078455061,2.1368454733521944,164.98505839541573,2.217444614818462,-0.6143605383394961,-0.5337613968732287,0.08059914146626745,0.0,train,0.0,test,1.0,test
V2/fil5_filabund1_36,36,516,401,86,True,True,True,559.5673546670195,2.747852369684103,723.0631913953677,2.8591762536915857,199.84105664796837,2.3006847173429543,0.11132388400748283,-0.4471676523411485,-0.5584915363486314,1.0,train,0.0,test,0.0,test
V2/fil5_filabund1_37,37,512,138,74,True,True,True,555.2296232354922,2.744472629032722,248.83471424578738,2.39591096747264,171.95625804592626,2.235417985830363,-0.34856166156008195,-0.5090546432023588,-0.16049298164227688,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_38,38,511,73,56,True,True,True,554.1451903776103,2.743623568191604,131.62995753581507,2.119354741191859,130.12906014286312,2.114374293105587,-0.624268826999745,-0.6292492750860168,-0.004980448086271849,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_39,39,495,37,59,True,True,True,536.7942646515012,2.72980786699046,66.7165538195227,1.8242336051383983,137.10025979337365,2.137038277741531,-0.9055742618520617,-0.5927695892489289,0.3128046726031328,0.0,train,0.0,test,1.0,test
V2/fil5_filabund1_40,40,485,81,46,True,True,True,525.949936072683,2.720944406659155,146.05515836165782,2.164516899950053,106.8917279744947,2.0289440977809607,-0.556427506709102,-0.6920003088781943,-0.1355728021690923,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_41,41,485,79,55,True,True,True,525.949936072683,2.720944406659155,142.44885815519714,2.153658972361845,127.80532692602628,2.1065489555936305,-0.5672854342973102,-0.6143954510655245,-0.04711001676821436,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_42,42,481,60,42,True,True,True,521.6122046411557,2.717347744430723,108.1890061938206,2.034183131455047,97.59679510714734,1.9894355564972872,-0.6831646129756761,-0.7279121879334358,-0.04474757495775972,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_43,43,479,51,90,True,True,True,519.4433389253921,2.7155381814714548,91.96065526474752,1.9636020571693396,209.1359895153157,2.3204287755387116,-0.7519361243021152,-0.39510940593274313,0.3568267183693721,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_44,44,475,215,43,True,True,True,515.1056074938648,2.711896277681758,387.6772721945238,2.5884703409870085,99.92052832398419,1.9996547216789733,-0.12342593669474944,-0.7122415560027846,-0.5888156193080352,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_45,45,475,35,57,True,True,True,515.1056074938648,2.711896277681758,63.11025361306202,1.800099925421679,132.45279335969997,2.1220611217718783,-0.9117963522600789,-0.5898351559098796,0.3219611963501994,0.0,train,0.0,train,1.0,train
